Player,Nation,Squad,Pos,Age,90s,Gls,Ast,Gls_90,Ast_90,GplusA_90,Sh_90,SoT_90,SoT_pct,Conversion,Gls_90_pct_rank,Ast_90_pct_rank,GplusA_90_pct_rank,Sh_90_pct_rank,SoT_90_pct_rank,SoT_pct_pct_rank,Conversion_pct_rank,age_years,xa,key_passes,key_passes_90,big_chances_created,big_chances_missed,shot_conversion_pct,shot_accuracy_pct,dribbles_90,dribble_success_pct,pk_won,fouls_drawn_90,xg,minutes,reliability,xg_90,xa_90,bcc_90,bcm_90,dob,height_cm,weight_kg,preferred_foot,nationality,nt_caps,nt_goals,market_value_eur,market_value_asof,contract_until,boot_sponsor,xg_90_pct,Sh_90_pct,SoT_90_pct,xa_90_pct,key_passes_90_pct,dribbles_90_pct,radar_ready
Kim Sinjin,kr KOR,Jeju United,FW,25-045,7.4,3,0,0.41,0.0,0.41,2.03,0.81,40.0,0.2,80.15,13.97,58.82,85.29,88.24,62.12,64.39,25.0,0.6,7.0,1.0,0.0,1.0,13.6,40.9,0.1,8.3,0.0,,2.4,666.0,낮음(<900분),0.324,0.081,0.0,0.135,2001-07-13,186,80.0,right,South Korea,3,0,150000.0,2026-05-21,,,38.1,77.3,81.8,52.4,57.1,19.0,True
Kong Minhyu,kr KOR,FC Anyang,FW,36-220,12.5,2,2,0.16,0.16,0.32,0.8,0.24,30.0,0.2,44.12,67.65,45.59,27.94,23.53,33.33,64.39,36.0,,,,,,,,,,,,,1125.0,중간(900~1800),,,,,1990-01-19,182,70.0,right,South Korea,0,0,,,,,,13.6,13.6,,,,False
Lee Hojae,kr KOR,Pohang Steelers,FW,25-317,18.7,8,0,0.43,0.0,0.43,1.28,0.37,29.2,0.3333333333333333,83.82,13.97,60.29,57.35,48.53,29.55,90.15,25.0,2.0,23.0,1.2,6.0,5.0,17.4,39.1,0.5,32.3,1.0,2.2,9.4,1683.0,중간(900~1800),0.503,0.107,0.321,0.267,2000-10-14,192,89.0,right,South Korea,3,1,900000.0,2026-05-21,,adidas,71.4,36.4,31.8,71.4,73.8,57.1,True
Lee Kunhee,kr KOR,Sangmu,FW,28-191,18.2,4,2,0.22,0.11,0.33,1.21,0.38,31.8,0.1818181818181818,51.47,47.06,47.06,51.47,50.74,40.91,57.58,28.0,1.7,16.0,0.9,3.0,5.0,9.3,25.6,0.8,55.6,0.0,,5.5,1638.0,중간(900~1800),0.302,0.093,0.165,0.275,1998-02-17,187,,right,South Korea,0,0,250000.0,2026-05-21,2026-10-06,,28.6,27.3,36.4,61.9,45.2,81.0,True
Lee Sang-heon,kr KOR,Sangmu,FW,28-182,6.9,0,1,0.0,0.14,0.14,0.29,0.0,0.0,0.0,9.56,60.29,22.06,4.41,4.41,3.03,9.85,28.0,0.8,12.0,1.7,1.0,0.0,,11.1,0.7,38.5,0.0,,0.6,621.0,낮음(<900분),0.087,0.116,0.145,0.0,1998-02-26,178,67.0,right,South Korea,3,1,650000.0,2026-05-21,2027-05-16,,4.8,9.1,6.8,76.2,97.6,76.2,True
Marcão,br BRA,Ulsan HD,FW,32-071,6.3,5,2,0.79,0.32,1.11,4.44,1.27,28.6,0.1785714285714285,97.06,91.18,100.0,100.0,95.59,26.52,56.06,32.0,1.3,6.0,1.0,4.0,2.0,12.2,31.7,1.4,39.1,1.0,2.1,5.5,567.0,낮음(<900분),0.873,0.206,0.635,0.317,1994-06-17,196,93.0,both,Brazil,0,0,750000.0,2026-05-21,,adidas Football,90.5,100.0,90.9,90.5,57.1,100.0,True
Morgan Ferrier,gy GUY,Incheon United,FW,31-285,14.1,6,1,0.43,0.07,0.5,1.99,0.78,39.3,0.2142857142857142,82.35,35.29,70.59,82.35,85.29,59.09,72.73,31.0,0.6,8.0,0.6,0.0,5.0,17.7,44.1,0.6,33.3,1.0,2.7,6.3,1269.0,중간(900~1800),0.447,0.043,0.0,0.355,1994-11-15,185,80.0,right,Guyana,2,0,200000.0,2026-05-21,,,57.1,72.7,77.3,9.5,21.4,69.0,True
Patryk Klimala,pl POL,FC Seoul,FW,28-022,17.2,10,1,0.58,0.06,0.64,1.92,0.58,30.3,0.303030303030303,91.18,29.41,85.29,77.94,73.53,36.36,84.85,28.0,1.5,14.0,0.8,2.0,8.0,17.2,39.7,0.2,30.0,0.0,,10.0,1548.0,중간(900~1800),0.581,0.087,0.116,0.465,1998-08-05,183,76.0,right,Poland,11,4,550000.0,2026-05-21,,,76.2,63.6,50.0,57.1,35.7,28.6,True
Stefan Mugoša,me MNE,Incheon United,FW,34-182,13.8,10,1,0.72,0.07,0.8,0.94,0.29,30.8,0.7692307692307693,95.59,38.24,92.65,39.71,33.82,37.88,98.48,34.0,0.8,10.0,0.7,3.0,5.0,20.8,39.6,0.9,52.2,1.0,2.0,8.4,1242.0,중간(900~1800),0.609,0.058,0.217,0.362,1992-02-26,188,81.0,right,Montenegro,65,16,400000.0,2026-05-21,,,81.0,22.7,22.7,28.6,28.6,88.1,True
Tiago Orobó,br BRA,Jeonbuk,FW,32-303,6.4,4,1,0.62,0.16,0.78,1.88,0.94,50.0,0.3333333333333333,92.65,66.18,91.18,76.47,92.65,87.88,90.15,32.0,0.6,4.0,0.6,2.0,3.0,19.1,42.9,1.3,61.5,0.0,,4.2,576.0,낮음(<900분),0.656,0.094,0.312,0.469,1993-10-28,190,84.0,right,Brazil,0,0,650000.0,2026-05-21,,,85.7,59.1,86.4,66.7,21.4,95.2,True
Vitor Gabriel,br BRA,Bucheon FC,FW,26-219,11.1,5,1,0.45,0.09,0.54,1.71,0.63,36.8,0.2631578947368421,85.29,45.59,79.41,72.06,76.47,51.52,78.79,26.0,0.8,5.0,0.5,3.0,2.0,17.9,35.7,0.4,25.0,0.0,,3.9,999.0,중간(900~1800),0.351,0.072,0.27,0.18,2000-01-20,187,,right,Brazil,0,0,400000.0,2026-05-21,,,42.9,54.5,59.1,42.9,11.9,42.9,True
Yago Cariello,br BRA,Ulsan HD,FW,27-031,12.7,11,0,0.87,0.0,0.87,2.76,1.34,48.6,0.3142857142857143,98.53,13.97,95.59,95.59,97.06,80.3,86.36,27.0,0.7,13.0,1.0,1.0,15.0,18.6,50.8,0.9,40.0,1.0,2.0,13.7,1143.0,중간(900~1800),1.079,0.055,0.079,1.181,1999-07-27,187,87.0,left,Brazil,0,0,900000.0,2026-05-21,,,95.2,90.9,95.5,23.8,57.1,88.1,True
